date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
09/19/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"Portfolio Recovery Associates, Inc.",,,,,Phone,09/19/2013,Closed with non-monetary relief,Yes,No,534083
02/14/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Bank of America,,,,,Referral,02/19/2014,Closed with explanation,Yes,No,714650
11/26/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,Older American,,Referral,12/03/2014,Closed with explanation,Yes,No,1133729
06/08/2015,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,Company chooses not to provide a public response,Citibank,,,Older American,,Phone,06/08/2015,Closed with non-monetary relief,Yes,No,1409920
10/10/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Referral,10/11/2012,Closed with explanation,Yes,Yes,168778
04/21/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,Servicemember,,Referral,04/24/2015,Closed with explanation,Yes,Yes,1340571
06/08/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,,,,,Fax,06/13/2012,Closed with explanation,Yes,No,98479
08/14/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,DCQ LLC,,,,,Phone,08/17/2015,Closed with explanation,Yes,No,1519459
04/17/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Flagstar Bank,,,,,Email,04/24/2013,Closed with explanation,Yes,No,383401
02/14/2013,Credit card,,Late fee,,,,Bank of America,,,,,Referral,02/15/2013,Closed with explanation,Yes,No,316923
05/12/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Navy FCU,,,,,Referral,05/15/2014,Closed with explanation,Yes,No,848610
07/08/2015,Credit card,,Customer service / Customer relations,,,,Capital One,,,,,Phone,07/08/2015,Closed with explanation,Yes,No,1458133
02/10/2012,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,USAA Savings,,,,,Email,02/13/2012,Closed without relief,No,No,22862
05/08/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Navient Solutions, Inc.",,,,,Phone,05/09/2013,Closed with explanation,Yes,No,402073
09/04/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,,,,,Referral,09/06/2012,Closed with explanation,Yes,No,146075
08/07/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,M&T Bank Corporation,,,,,Phone,08/12/2014,Closed with explanation,Yes,No,974307
01/26/2016,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,,,,,Referral,02/01/2016,Closed with explanation,Yes,No,1757677
11/05/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Stellar Recovery Inc.,,,Older American,,Phone,11/12/2014,Closed with explanation,Yes,No,1102751
03/08/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,,,,,Referral,03/11/2013,Closed with explanation,Yes,No,347340
01/02/2014,Bank account or service,Savings account,"Account opening, closing, or management",,,,The Huntington National Bank,,,Servicemember,,Phone,01/06/2014,Closed with explanation,Yes,No,652643
08/12/2015,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Company believes complaint is the result of an isolated error,Navy FCU,,,,,Referral,08/19/2015,Closed with explanation,Yes,No,1516350
01/22/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,,,,,Referral,01/23/2013,Closed with explanation,Yes,No,251568
12/19/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,New York Community Bank,,,,,Referral,01/06/2014,Closed with explanation,Yes,No,638479
05/06/2015,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,Citibank,,,,,Referral,05/07/2015,Closed with explanation,Yes,No,1364013
03/14/2016,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,,,,,Postal mail,03/15/2016,Closed with explanation,Yes,No,1831680
02/12/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Santander Bank US,,,,,Referral,02/13/2013,Closed,Yes,No,315148
10/23/2014,Credit card,,Identity theft / Fraud / Embezzlement,,,,Citibank,,,,,Fax,11/03/2014,Closed with explanation,Yes,No,1084291
02/19/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,,,,,Phone,02/23/2015,Closed with explanation,Yes,No,1246710
12/30/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Resurgent Capital Services L.P.,,,,,Postal mail,12/30/2015,Closed,Yes,No,1721630
06/03/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company chooses not to provide a public response,Ally Financial Inc.,,,,,Referral,06/08/2015,Closed with explanation,Yes,No,1403478
11/25/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Bank of America,,,,,Fax,12/04/2013,Closed with explanation,Yes,No,612222
11/04/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Credit Protection Association, L.P.",,,,,Postal mail,11/13/2014,Closed,Yes,No,1101816
03/04/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,,,,,Fax,03/06/2013,Closed with explanation,Yes,No,340675
07/10/2014,Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,,,"CashCall, Inc.",,,Older American,,Phone,07/17/2014,Closed with explanation,Yes,No,931464
